WYBÓR 	WYBÓRC 	WYBÓRD 	Identyfikator 	Indeks 	Asortyment 	Cena brutto 	jm 	Cena jednostki 	Cena opakowania 	PUSTY0 	Ident. 	S_Indeks 	S_Identyfikator 	S_Asortyment 	S_Cena brutto 	PUSTY1 
63	1.0434400000002846	4.01822999999931	PÊDZLE  5SZT S.132147	5906453901343	SZKOLNE	3,9	szt			obni¿ka -21%	21140	5906453901343	PÊDZLE  5SZT S.132147	SZKOLNE	4,99	
64	1.0453900000002974	4.020179999999236	PUD. NA_100 CD FELL.	077511906978	KOMPUTER	87,0	szt			=	18233	77511906978	PUD. NA_100 CD FELL.	KOMPUTER	87,0	
64.00933000000296	1.0547200000003585	5	PLECAK FREEWAY WATER	5907604692332	SZKOLNE	49,99	szt			=	10067	5907604692332	PLECAK FREEWAY WATER	SZKOLNE	49,99	
64.0101000000032	1.0554900000003635	6	PLAN LEKCJI S.PONY	5907604614754	SZKOLNE	1,0	szt			=	10134	5907604614754	PLAN LEKCJI S.PONY	SZKOLNE	1,0	
65	1.060280000000395	6.004789999999819	PISAK CARIOCA/KARAT	720	SZKOLNE	0,3	szt			=	10464	720	PISAK KAMET	SZKOLNE	0,3	
66	1.0612900000004015	6.00579999999978	PIANKA DEKORACYJNA NC-012 5SZT	5901688172469	SZKOLNE	12,99	op			stara cena 13.99	21577	5901688172469	PIANKA DEKORACYJNA NC-012 5SZT	SZKOLNE	13,99	
67	1.0613200000004017	6.005829999999779	PIANKA DEKORACYJNA NC-002 8SZT BROK	5901688170311	SZKOLNE	12,5	szt			stara cena 12.70	28252	5901688170311	PIANKA DEKORACYJNA NC-002 8SZT BROK	SZKOLNE	12,7	
68	1.0613300000004018	6.005839999999779	PIANKA DEKORACYJNA NC-001 8SZT	5901688170304	SZKOLNE	5,2	szt			stara cena 5.50	28217	5901688170304	PIANKA DEKORACYJNA NC-001 8SZT	SZKOLNE	5,5	
69	1.0615500000004032	6.006059999999771	PENDRIVE  8GB SONY MICROVALULT	027242839281	KOMPUTER	23,99	szt			=	15774	27242839281	PENDRIVE  8GB SONY MICROVALULT	KOMPUTER	23,99	
70	1.0636700000004171	6.00817999999969	PAP.FOTO.10*15/50SZT 200G 239109	023942450146	PAPIER	12,99	op			=	11431	23942450146	PAP.FOTO.10*15/50SZT 200G 239109	PAPIER	12,99	
70.00044000000014	1.06411000000042	7	PAP. TOAL._LUZ 64ROL	2	HIGIENA	17,99	wor	cena 0.28z³/rolka		=	10035	2	PAP. TOAL._LUZ 64ROL	HIGIENA	17,99	
71	1.0668900000004382	7.002779999999895	OLEJ D/NISZCZ.FELLOWS 355ML	077511352508	BIUROWE	37,99	szt			=	10519	77511352508	OLEJ D/NISZCZ.FELLOWS 355ML	BIUROWE	37,99	
72	1.0669000000004383	7.002789999999894	OLEJ D/NISZCZ.120ML FELLOWES	077511350504	BIUROWE	24,99	szt			=	26324	77511350504	OLEJ D/NISZCZ.120ML FELLOWES	BIUROWE	24,99	
73	1.0690800000004526	7.004969999999812	NUMERATOR P48313 TRODAT	092399865483	BIUROWE	39,99	szt			=	14309	92399865483	NUMERATOR P48313 TRODAT	BIUROWE	39,99	
74	1.0690900000004526	7.0049799999998115	NUMERATOR 4822 TRODAT	092399740346	BIUROWE	39,0	szt			=	27324	92399740346	NUMERATOR 4822 TRODAT	BIUROWE	39,0	
75	1.0711600000004662	7.007049999999733	NAKLEJKI DU¯E WINX,30*40CM	06925365916996	SZKOLNE	2,99	szt			=	30537	6925365916996	NAKLEJKI DU¯E WINX,30*40CM	SZKOLNE	2,99	
75.00341000000108	1.0745700000004885	8	MISKA OWAL 35L 03315 CURVER	C_03315	GOSP.DOM.	29,99	szt			=	10032	C_03315	MISKA OWAL 35L 03315 CURVER	GOSP.DOM.	29,99	
76	1.079670000000522	8.005099999999807	LINIJKA 20 ALUMINIOWA	5907078123646	SZKOLNE	2,1	szt			stara cena 2.20	22630	5907078123646	LINIJKA 20 ALUMINIOWA	SZKOLNE	2,2	
77	1.0820500000005375	8.007479999999717	KUFEREK OKLEJ.S.ANIMAL	5907604637128	SZKOLNE	16,5	szt			.	11750	5907604637128	KUFEREK OKLEJ.S.ANIMAL	SZKOLNE	15,5	
78	1.0820600000005376	8.007489999999716	KUFEREK OKLEJ.S,ANGELINA	5907604678671	SZKOLNE	16,5	szt			.	12087	5907604678671	KUFEREK OKLEJ.STARPAK MIX	SZKOLNE	15,5	
